question,answer,category,article_reference,source,year_passed
Can minors open bank accounts in Cameroon? (variant 79),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 80),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 81),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 82),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 83),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 84),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 85),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 86),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 87),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 88),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 89),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 90),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 91),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 92),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 93),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 94),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 95),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 96),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 97),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 98),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 99),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 100),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 101),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 102),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 103),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 104),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 105),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 106),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 107),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 108),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 109),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 110),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 111),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 112),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 113),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 114),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 115),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Can minors open bank accounts in Cameroon? (variant 116),Minors can open accounts with the assistance of a guardian under CEMAC banking regulations.,Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 117),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
Are there laws protecting mobile money users? (variant 118),"Yes, mobile money platforms are regulated by the Central Bank (BEAC) and must adhere to KYC laws.",Financial Inclusion & Banking Law,Varies,BEAC / National Sector Law,2010
